data_id,ownerUser,licenses,# of classes,usabilityRating,totalViews,totalVotes,totalDownloads,c1,c2,c3,c4,v1,v2,v3,v4,v5,v6,v7,v8,Empty
0,abtabm,other,3,0.625,5110,12,678,0,0,0,1,0.454311557,0.241965768,-0.178474429,0.078717657,-0.343706069,0.150177872,0.103396425,-0.474233454,0
1,alifrahman,DbCL-1.0,2,0.6875,2121,9,332,0,1,-1,0,0.527839024,0.284245372,-0.201756938,0.116918329,-0.394860626,0.16888419,0.137184327,-0.536490508,0
2,alxmamaev,unknown,5,0.625,428297,1672,76058,0,-1,-1,1,0.421102265,0.234787548,-0.172240752,0.081513668,-0.348053636,0.138399188,0.100449697,-0.447095778,0
3,ananthu017,CC0-1.0,7,0.875,49812,120,7222,2,-1,-3,-1,0.358011712,0.198785837,-0.12978356,0.068405273,-0.275457302,0.119678099,0.09358213,-0.378495172,0
4,andrewmvd,copyright-authors,2,0.941176471,19461,125,1039,-1,0,0,0,0.298304723,0.167896053,-0.120116891,0.052905728,-0.242468698,0.1072904,0.072812415,-0.322821359,0
5,arkadiyhacks,CC0-1.0,4,0.75,18755,36,1917,-1,0,-3,-1,0.348415455,0.188208281,-0.133945905,0.068413448,-0.268896279,0.101534269,0.093553875,-0.365702429,0
6,ashishjangra27,CC0-1.0,2,0.875,81961,254,15928,-1,-2,1,0,0.459701074,0.243700217,-0.18333345,0.10144472,-0.376414413,0.156660285,0.118015787,-0.487984053,0
7,ashishsaxena2209,unknown,3,0.375,46467,183,10801,1,1,-1,0,0.498960363,0.288728784,-0.205670869,0.130357762,-0.373291447,0.151090336,0.125688079,-0.495753856,0
8,ayanzadeh93,ODbL-1.0,9,0.875,29968,55,2252,1,-1,0,-1,0.405267065,0.211853299,-0.164335849,0.084551307,-0.324846528,0.121614676,0.102911084,-0.419407938,0
9,balabaskar,CC0-1.0,3,1,5293,74,623,0,1,-1,-1,0.395870198,0.220205852,-0.154101177,0.083575369,-0.322030274,0.12602677,0.099969604,-0.415272603,0
10,carlosrunner,other,2,0.9375,12386,46,1367,1,-2,0,0,0.402935085,0.217561836,-0.15133232,0.076936368,-0.320931612,0.132940277,0.104668632,-0.420332396,0
11,chazzer,CC0-1.0,2,0.875,5680,19,617,0,0,0,-2,0.39443621,0.216079741,-0.147617339,0.085240336,-0.322029277,0.129201486,0.083814769,-0.423617207,0
12,chetankv,CC0-1.0,2,0.5625,118418,541,30107,0,1,-1,0,0.70088885,0.380889323,-0.266942918,0.20015616,-0.457927823,0.203649336,0.169822184,-0.645773537,0
13,concaption,CC0-1.0,2,0.875,4034,16,218,-1,0,0,0,0.365616481,0.194614753,-0.142967098,0.066935492,-0.287682881,0.108872675,0.097333464,-0.378124463,0
14,d4rklucif3r,DbCL-1.0,2,0.875,9005,54,1684,0,1,-1,0,0.562455975,0.301119855,-0.224093055,0.158408896,-0.375769645,0.163393819,0.145721473,-0.530706922,0
15,deepcontractor,CC0-1.0,2,0.75,5233,34,458,-1,0,0,0,0.433839629,0.228309078,-0.157602781,0.094308927,-0.327687215,0.152259886,0.113822303,-0.443201544,0
16,drgfreeman,CC-BY-SA-4.0,3,0.875,58599,168,10904,0,0,2,-1,0.42416381,0.269882748,-0.195344639,0.095110363,-0.334207563,0.118371454,0.138708651,-0.476233033,0
17,eng0mohamed0nabil,Attribution 3.0 Unported (CC BY 3.0),3,0.875,2357,8,60,0,0,2,-1,0.469124958,0.299929344,-0.226988537,0.110615691,-0.365813108,0.118201385,0.153947322,-0.537275692,0
