dataset_id,model_id,according accuracy
26,571,0.8824
18,616,0.921
26,443,0.9926
26,290,0.8968
26,450,0.8601
18,180,0.9425
58,231,0.567
18,724,0.921
26,901,0.8634
14,281,0.9742
14,829,0.9184
18,847,0.923
64,791,0.587
14,70,0.9465
18,660,0.925
18,987,0.926
18,458,0.9415
26,109,0.9037
26,479,0.6462
26,303,0.8456
18,599,0.902
18,757,0.932
31,638,0.928
26,692,0.9232
18,680,0.9425
31,682,0.8633
18,534,0.926
18,185,0.929
26,970,0.8529
26,454,0.1408
18,716,0.9255
65,719,0.911
18,936,0.928
58,223,0.786
31,297,0.87
31,188,0.86
26,449,0.4838
52,89,0.728
11,215,0.879
26,428,0.8505
26,769,0.9644
26,187,0.945
18,275,0.924
18,607,0.918
31,671,0.8767
26,106,0.9068
31,459,0.9314
14,744,0.9174
4,153,0.761
14,548,0.9181
18,148,0.927
26,360,0.6643
26,944,0.6534
31,749,0.8633
26,519,0.8501
64,792,0.616
18,88,0.937
11,238,0.895
26,846,0.9323
18,863,0.929
52,90,0.722
26,407,0.1268
31,646,0.87
14,507,0.9432
58,163,0.73
26,387,0.5702
26,498,0.8775
26,240,0.9014
18,155,0.6
0,686,0.939
58,222,0.561
18,576,0.901
26,404,0.0845
26,291,0.911
46,772,0.82
18,565,0.9265
26,373,0.3803
18,572,0.9385
18,652,0.9315
14,825,0.9152
18,988,0.923
26,697,0.9404
55,478,0.834
26,126,0.7132
6,152,0.818
10,236,0.549
18,986,0.924
14,256,0.9468
18,158,0.934
26,502,0.875
31,922,0.88
18,750,0.9265
26,121,0.911
31,807,0.89
26,436,0.7936
26,403,0.8005
31,181,0.8567
14,463,0.9116
18,921,0.9375
18,802,0.9265
18,937,0.924
18,566,0.919
14,200,0.941
14,144,0.9184
26,951,0.8456
18,935,0.9235
4,676,0.737
14,515,0.9184
64,782,0.967
14,285,0.9187
18,821,0.9255
26,412,0.8848
14,151,0.9113
32,170,0.935
18,786,0.925
26,947,0.9154
48,117,0.281
18,917,0.8885
31,838,0.9294
18,488,0.924
12,560,0.788
25,325,0.978
14,904,0.9158
26,135,0.6173
64,723,0.562
18,505,0.927
64,468,0.205
26,356,0.6715
14,114,0.9177
26,423,0.4982
31,619,0.8767
26,418,0.6562
18,798,0.8945
26,790,0.9037
26,133,0.8456
26,760,0.922
18,593,0.925
18,258,0.936
31,338,0.8767
32,84,0.902
58,232,0.783
18,536,0.9225
26,414,0.6072
31,923,0.88
26,858,0.8554
32,168,0.93
26,361,0.3521
14,514,0.9352
18,974,0.9245
18,911,0.921
49,777,0.84
18,142,0.9235
18,497,0.926
18,833,0.9235
18,637,0.903
18,85,0.936
18,341,0.9165
26,529,0.7978
26,132,0.5634
11,219,0.882
0,318,0.938
14,733,0.9468
31,647,0.9
26,422,0.5199
26,693,0.8949
18,464,0.92
18,810,0.9215
18,595,0.921
31,662,0.8667
26,175,0.9346
26,369,0.826
18,302,0.929
26,164,0.8968
31,887,0.8733
11,237,0.878
55,477,0.79
31,955,0.9552
14,903,0.8265
31,552,0.8767
8,193,0.607
51,339,0.929
26,370,0.8943
43,558,0.904
18,664,0.9235
31,800,0.8667
31,841,0.9672
18,377,0.9285
18,799,0.927
31,574,0.87
64,293,0.954
26,146,0.848
31,539,0.8667
31,330,0.8667
26,867,0.7328
18,465,0.923
15,532,0.976
18,636,0.9265
46,773,0.867
26,455,0.1268
18,985,0.9355
26,122,0.7581
58,653,0.716
14,612,0.9765
26,659,0.848
18,305,0.9255
26,406,0.1268
18,989,0.933
42,785,0.905
41,854,0.822
58,249,0.809
18,705,0.913
4,601,0.84
18,931,0.9245
18,495,0.923
31,967,0.9361
18,997,0.9325
18,334,0.9245
18,251,0.933
18,67,0.9275
14,345,0.9184
64,781,0.973
22,197,0.749
18,907,0.925
31,806,0.916
26,694,0.8746
51,340,0.933
26,138,0.8231
26,766,0.9427
26,396,0.5054
18,817,0.9265
46,960,0.841
14,919,0.9174
18,549,0.9245
26,524,0.9323
18,308,0.937
18,930,0.92
26,754,0.9438
31,484,0.8733
18,711,0.9215
18,276,0.9265
31,76,0.8767
18,617,0.9325
18,853,0.9205
14,253,0.9152
58,282,0.71
14,343,0.9187
18,969,0.923
31,174,0.8767
26,97,0.9037
26,402,0.7878
14,862,0.9174
18,156,0.922
31,657,0.8767
14,982,0.9184
18,915,0.919
57,171,0.974
55,474,0.709
18,157,0.92
18,878,0.927
18,752,0.925
26,420,0.6343
26,391,0.7888
18,374,0.9245
26,438,0.1268
18,663,0.9245
14,738,0.9319
14,875,0.9429
26,413,0.9902
18,247,0.9245
18,317,0.9285
18,796,0.927
26,639,0.6814
37,699,0.9014
31,748,0.8733
26,392,0.7995
18,984,0.9215
18,909,0.926
64,783,0.96
8,194,0.59
31,306,0.8767
64,952,0.559
18,973,0.9255
18,588,0.9245
26,446,0.5881
26,526,0.902
31,543,0.9395
26,419,0.654
26,260,0.9119
18,110,0.924
18,908,0.9255
55,472,0.772
31,731,0.925
37,701,0.8796
14,547,0.9426
18,487,0.924
26,972,0.8554
26,763,0.9209
18,894,0.925
31,996,0.8733
18,805,0.926
26,765,0.9197
18,966,0.9235
16,578,0.8167
18,239,0.9295
26,381,0.6201
31,628,0.8667
26,416,0.5717
18,794,0.923
18,963,0.925
4,758,0.765
26,395,0.5199
26,128,0.507
31,840,0.9074
18,746,0.9275
14,737,0.94
26,357,0.9232
26,452,0.8635
26,949,0.7581
26,654,0.9014
26,569,0.8284
8,195,0.624
26,390,0.7887
18,103,0.926
18,154,0.9275
18,590,0.931
26,432,0.4874
14,252,0.9458
64,784,0.987
26,372,0.9048
18,119,0.9175
26,437,0.7867
18,905,0.924
4,759,0.748
58,914,0.819
31,596,0.923
26,434,0.4874
14,586,0.9471
18,898,0.7825
41,265,0.799
18,149,0.923
26,245,0.8578
26,139,0.5634
26,166,0.9033
16,583,0.828
26,359,0.6838
18,535,0.9235
10,235,0.51
18,745,0.934
26,130,0.7917
26,480,0.9335
26,365,0.8847
54,291,0.989
58,205,0.513
26,971,0.8505
16,579,0.8235
26,707,0.9584
26,941,0.828
26,499,0.8603
10,210,0.532
26,902,0.9255
16,584,0.8038
18,938,0.927
14,622,0.9161
26,557,0.8616
14,740,0.9729
18,880,0.9245
49,779,0.84
17,473,0.497
26,691,0.6209
10,226,0.503
31,830,0.6833
18,87,0.9345
18,192,0.925
