dataset_id,model_id,according accuracy
14,744,0.9174
18,87,0.9345
26,857,0.8603
39,873,0.872
18,987,0.926
18,72,0.9215
58,205,0.513
14,876,0.9177
26,349,0.8326
18,832,0.9215
26,451,0.8544
18,317,0.9285
18,595,0.921
14,253,0.9152
14,881,0.9161
26,661,0.9014
18,142,0.9235
18,272,0.9215
14,828,0.9448
4,273,0.932
26,369,0.826
26,412,0.8848
14,962,0.9184
18,540,0.923
18,155,0.6
18,989,0.933
26,439,0.1408
18,685,0.927
18,494,0.926
8,195,0.624
16,580,0.6745
14,284,0.9448
25,872,0.992
64,326,0.557
18,73,0.8885
31,329,0.8733
8,193,0.607
26,313,0.906
18,623,0.9225
18,669,0.9405
18,147,0.922
26,397,0.4982
26,395,0.5199
4,700,0.583
26,947,0.9154
26,97,0.9037
14,257,0.9161
18,461,0.9245
21,575,0.98
29,162,0.629
26,941,0.828
38,277,0.888
18,908,0.9255
26,386,0.568
18,565,0.9265
18,879,0.929
14,514,0.9352
26,240,0.9014
49,778,0.893
31,338,0.8767
18,711,0.9215
18,286,0.922
18,787,0.9255
18,589,0.9225
18,312,0.924
31,638,0.928
18,793,0.9245
26,925,0.8205
18,251,0.933
26,418,0.6562
18,606,0.917
31,539,0.8667
26,933,0.8627
18,341,0.9165
26,696,0.9151
18,296,0.9245
26,95,0.8578
10,236,0.549
14,508,0.9184
18,203,0.9215
31,939,0.866
18,603,0.921
14,738,0.9319
38,319,0.957
18,827,0.922
26,446,0.5881
46,542,0.839
49,774,0.853
14,267,0.9148
26,530,0.9358
54,592,0.876
26,134,0.6065
14,70,0.9465
2,102,0.815
26,456,0.8383
18,817,0.9265
26,131,0.6643
58,914,0.819
18,563,0.929
26,409,0.656
26,360,0.6643
14,176,0.9174
18,627,0.922
56,713,0.802
31,559,0.8767
18,936,0.928
26,99,0.9014
18,377,0.9285
26,706,0.9399
14,256,0.9468
26,994,0.7034
10,217,0.513
31,327,0.8867
18,497,0.926
18,263,0.9245
55,471,0.726
18,993,0.924
49,775,0.82
18,492,0.927
18,247,0.9245
40,510,0.902
64,868,0.685
32,168,0.93
31,670,0.9267
18,148,0.927
14,252,0.9458
18,722,0.924
16,584,0.8038
18,728,0.9245
18,799,0.927
18,470,0.927
18,742,0.9225
18,643,0.934
26,790,0.9037
18,607,0.918
43,558,0.904
15,506,0.974
14,343,0.9187
26,846,0.9323
26,358,0.4648
31,597,0.9303
27,544,0.589
26,165,0.8554
26,416,0.5717
18,576,0.901
55,478,0.834
31,807,0.89
64,792,0.616
18,757,0.932
18,762,0.925
26,146,0.848
26,932,0.9278
26,626,0.8314
31,753,0.8633
18,311,0.937
14,345,0.9184
26,420,0.6343
14,144,0.9184
8,194,0.59
18,119,0.9175
18,716,0.9255
26,852,0.8219
64,468,0.205
41,264,0.908
31,708,0.9214
26,381,0.6201
18,120,0.9165
14,678,0.9506
26,364,0.8439
18,884,0.923
53,656,0.998
14,620,0.9171
18,985,0.9355
58,206,0.704
31,297,0.87
58,225,0.713
26,127,0.5634
11,215,0.879
14,965,0.9165
26,413,0.9902
26,498,0.8775
58,249,0.809
26,121,0.911
18,957,0.919
18,156,0.922
18,938,0.927
64,783,0.96
