dataset_id,model_id,according accuracy
31,564,0.86
18,953,0.9225
26,526,0.902
18,907,0.925
18,88,0.937
46,961,0.841
26,395,0.5199
18,594,0.9245
18,745,0.934
64,717,0.592
32,167,0.937
18,705,0.913
14,734,0.9332
18,667,0.9215
18,968,0.928
26,860,0.8603
18,770,0.9185
18,566,0.919
26,525,0.5634
26,932,0.9278
26,289,0.9014
14,266,0.9306
31,812,0.9297
35,541,0.085
31,806,0.916
26,950,0.9323
64,100,0.513
31,641,0.86
26,694,0.8746
18,590,0.931
18,196,0.912
64,792,0.616
14,737,0.94
18,572,0.9385
18,853,0.9205
26,466,0.8137
26,396,0.5054
18,741,0.913
18,375,0.8955
31,980,0.8733
18,516,0.9205
31,807,0.89
26,439,0.1408
61,702,0.748
31,591,0.8733
25,940,0.862
10,218,0.548
18,882,0.939
32,168,0.93
26,451,0.8544
26,947,0.9154
26,261,0.704
58,222,0.561
35,924,0.833
18,585,0.92
26,353,0.8603
4,673,0.502
18,312,0.924
31,278,0.8667
38,319,0.957
58,206,0.704
10,235,0.51
31,749,0.8633
14,621,0.9471
18,650,0.9305
26,370,0.8943
64,976,0.568
26,934,0.848
26,476,0.9141
18,310,0.9265
14,864,0.9487
18,258,0.936
18,954,0.9225
18,305,0.9255
31,748,0.8733
44,826,0.815
31,188,0.86
64,783,0.96
18,845,0.9305
31,635,0.86
15,506,0.974
26,446,0.5881
18,112,0.923
26,448,0.4657
18,110,0.924
18,643,0.934
14,614,0.9323
14,649,0.9171
26,765,0.9197
18,625,0.925
26,128,0.507
26,455,0.1268
26,496,0.9014
14,965,0.9165
26,527,0.9246
18,606,0.917
41,265,0.799
31,596,0.923
26,121,0.911
18,589,0.9225
31,538,0.8667
18,263,0.9245
18,833,0.9235
18,317,0.9285
64,781,0.973
26,531,0.5634
26,504,0.8456
26,867,0.7328
18,487,0.924
26,766,0.9427
57,171,0.974
18,794,0.923
26,994,0.7034
64,468,0.205
49,777,0.84
53,655,0.992
9,819,0.812
31,929,0.8733
18,995,0.9365
14,284,0.9448
18,540,0.923
14,253,0.9152
18,742,0.9225
19,320,0.99
64,780,0.973
26,971,0.8505
31,559,0.8767
18,344,0.9205
26,402,0.7878
58,204,0.46
14,897,0.8532
14,896,0.9368
18,247,0.9245
31,628,0.8667
26,146,0.848
26,414,0.6072
14,611,0.9768
61,900,0.625
31,851,0.904
18,683,0.924
31,619,0.8767
14,612,0.9765
18,981,0.922
31,270,0.87
18,462,0.925
31,638,0.928
29,162,0.629
4,816,0.581
26,390,0.7887
26,419,0.654
57,172,0.97
10,214,0.537
26,520,0.8578
10,213,0.494
50,94,0.918
26,364,0.8439
18,115,0.921
14,903,0.8265
26,500,0.8505
55,471,0.726
18,636,0.9265
26,946,0.8657
53,814,0.993
18,805,0.926
26,127,0.5634
26,697,0.9404
26,901,0.8634
64,518,0.628
18,588,0.9245
26,846,0.9323
18,311,0.937
14,336,0.931
26,140,0.6895
18,184,0.928
39,873,0.872
4,273,0.932
26,405,0.1268
31,662,0.8667
26,557,0.8616
26,138,0.8231
31,955,0.9552
26,951,0.8456
26,137,0.5634
14,489,0.9429
26,388,0.5702
26,387,0.5702
26,358,0.4648
18,912,0.9285
26,80,0.5493
58,223,0.786
42,785,0.905
18,935,0.9235
37,699,0.9014
18,563,0.929
14,114,0.9177
14,732,0.9168
58,224,0.858
26,386,0.568
14,267,0.9148
64,869,0.671
26,290,0.8968
18,810,0.9215
18,513,0.9165
14,547,0.9426
26,430,0.6007
26,187,0.945
64,723,0.562
24,469,0.742
26,902,0.9255
26,454,0.1408
18,822,0.9255
16,582,0.8691
31,243,0.86
31,841,0.9672
26,271,0.9014
26,530,0.9358
18,309,0.9295
58,225,0.713
14,144,0.9184
26,107,0.8989
18,332,0.9385
26,866,0.9153
26,426,0.1268
4,333,0.932
14,768,0.9703
18,642,0.9265
26,899,0.886
26,397,0.4982
38,178,0.923
55,477,0.79
10,236,0.549
31,314,0.928
26,428,0.8505
18,847,0.923
31,753,0.8633
18,488,0.924
11,215,0.879
11,237,0.878
18,827,0.922
18,549,0.9245
58,231,0.567
12,561,0.761
18,191,0.896
14,919,0.9174
26,503,0.8578
18,308,0.937
11,228,0.876
18,957,0.919
18,294,0.924
4,674,0.55
32,84,0.902
18,983,0.921
14,257,0.9161
64,326,0.557
18,746,0.9275
14,337,0.9161
31,321,0.9126
51,340,0.933
18,722,0.924
32,169,0.926
18,917,0.8885
14,151,0.9113
18,272,0.9215
14,679,0.9474
26,367,0.8945
18,276,0.9265
18,608,0.39
18,274,0.923
18,799,0.927
56,713,0.802
61,788,0.826
26,569,0.8284
26,659,0.848
4,751,0.931
26,372,0.9048
18,889,0.9245
20,298,0.933
14,875,0.9429
64,782,0.967
18,599,0.902
26,104,0.823
26,398,0.4477
26,529,0.7978
14,343,0.9187
64,975,0.678
18,627,0.922
14,666,0.9187
26,406,0.1268
31,800,0.8667
26,378,0.8199
26,421,0.5523
18,963,0.925
26,450,0.8601
18,576,0.901
26,409,0.656
14,586,0.9471
22,197,0.749
26,105,0.8382
18,72,0.9215
26,95,0.8578
18,159,0.924
18,973,0.9255
18,118,0.924
17,473,0.497
18,859,0.9245
18,302,0.929
26,422,0.5199
26,411,0.8946
18,616,0.921
18,752,0.925
18,730,0.9325
18,821,0.9255
14,835,0.9184
18,710,0.9215
14,828,0.9448
18,988,0.923
26,499,0.8603
31,731,0.925
18,180,0.9425
18,155,0.6
25,718,0.89
46,820,0.839
18,145,0.926
51,339,0.929
20,299,0.929
18,334,0.9245
31,887,0.8733
26,519,0.8501
46,772,0.82
31,840,0.9074
26,754,0.9438
26,501,0.8529
18,716,0.9255
26,693,0.8949
26,706,0.9399
26,949,0.7581
58,205,0.513
18,296,0.9245
26,857,0.8603
46,960,0.841
58,653,0.716
18,512,0.9245
25,872,0.992
14,738,0.9319
18,908,0.9255
18,78,0.9275
64,868,0.685
58,208,0.709
34,629,0.775
15,532,0.976
26,373,0.3803
14,250,0.9171
27,544,0.589
26,442,0.9877
18,248,0.938
18,85,0.936
31,644,0.87
31,939,0.866
26,139,0.5634
26,933,0.8627
31,300,0.8633
18,593,0.925
18,817,0.9265
30,493,0.688
11,229,0.89
26,858,0.8554
26,692,0.9232
26,435,0.7901
26,639,0.6814
18,808,0.9245
18,603,0.921
10,210,0.532
32,170,0.935
18,735,0.928
18,565,0.9265
64,511,0.43
18,813,0.9215
18,103,0.926
14,761,0.9529
14,829,0.9184
18,351,0.9185
26,365,0.8847
26,423,0.4982
11,212,0.888
18,726,0.923
18,239,0.9295
31,795,0.9319
18,848,0.923
18,251,0.933
0,318,0.938
18,913,0.921
52,92,0.711
53,656,0.998
14,507,0.9432
26,124,0.5487
26,690,0.8627
18,874,0.925
64,791,0.587
14,113,0.9487
4,675,0.542
26,684,0.9014
18,470,0.927
31,460,0.8733
18,202,0.927
14,918,0.9394
27,568,0.436
26,371,0.6426
54,291,0.989
18,286,0.922
31,297,0.87
10,227,0.536
18,802,0.9265
26,362,0.7675
31,287,0.9302
4,823,0.932
14,992,0.9174
26,313,0.906
18,729,0.9245
18,892,0.925
18,623,0.9225
18,652,0.9315
18,77,0.928
18,86,0.9215
18,350,0.923
31,600,0.9303
18,877,0.927
31,647,0.9
26,135,0.6173
14,598,0.9184
22,199,0.814
31,539,0.8667
31,306,0.8767
18,492,0.927
18,793,0.9245
26,417,0.5578
55,483,0.744
26,368,0.5493
18,307,0.945
26,108,0.6679
65,719,0.911
18,984,0.9215
18,921,0.9375
58,234,0.713
64,618,0.24
26,352,0.841
4,457,0.931
18,651,0.928
18,669,0.9405
26,126,0.7132
45,927,0.796
26,945,0.914
18,632,0.892
26,391,0.7888
18,993,0.924
18,637,0.903
18,275,0.924
18,856,0.923
26,357,0.9232
27,546,0.583
4,672,0.693
26,383,0.5655
18,624,0.924
32,83,0.94
18,764,0.9215
26,803,0.9157
26,925,0.8205
31,838,0.9294
26,570,0.8284
18,986,0.924
26,361,0.3521
14,622,0.9161
32,81,0.902
26,129,0.7917
26,521,0.9125
14,288,0.9184
26,790,0.9037
18,280,0.928
2,101,0.8
18,789,0.927
14,256,0.9468
11,219,0.882
18,485,0.917
40,510,0.902
56,714,0.851
26,441,0.9877
18,269,0.9275
26,926,0.8549
16,583,0.828
54,66,0.989
18,863,0.929
26,475,0.8554
31,830,0.6833
18,509,0.9285
26,99,0.9014
26,707,0.9584
18,938,0.927
47,605,0.831
14,615,0.9739
31,174,0.8767
14,345,0.9184
26,132,0.5634
18,677,0.9295
64,293,0.954
14,881,0.9161
26,399,0.7775
26,389,0.8026
18,148,0.927
18,553,0.9305
31,328,0.909
4,153,0.761
18,920,0.927
26,523,0.6895
26,410,0.6312
26,661,0.9014
26,571,0.8824
18,884,0.923
26,456,0.8383
14,844,0.9116
26,695,0.8922
55,474,0.709
64,323,0.781
26,141,0.5634
18,786,0.925
18,985,0.9355
18,663,0.9245
26,577,0.8345
26,133,0.8456
31,956,0.86
18,728,0.9245
14,739,0.94
34,630,0.793
18,849,0.924
14,665,0.9461
14,508,0.9184
18,680,0.9425
18,966,0.9235
26,109,0.9037
18,111,0.924
31,597,0.9303
18,610,0.925
18,142,0.9235
26,420,0.6343
18,891,0.9285
26,403,0.8005
18,937,0.924
26,427,0.1549
31,670,0.9267
36,698,0.593
26,482,0.5352
18,979,0.9235
26,125,0.5352
18,832,0.9215
14,613,0.9255
18,602,0.9265
14,862,0.9174
18,930,0.92
7,721,0.924
18,268,0.922
26,524,0.9323
26,943,0.8981
