dataset_id,model_id,according accuracy
52,92,0.711
26,695,0.8922
18,729,0.9245
18,827,0.922
18,491,0.9245
35,541,0.085
18,563,0.929
26,449,0.4838
38,319,0.957
12,561,0.761
18,495,0.923
14,844,0.9116
64,804,0.642
55,481,0.754
18,254,0.9265
11,211,0.868
14,614,0.9323
31,727,0.8767
18,191,0.896
18,470,0.927
64,783,0.96
26,475,0.8554
18,87,0.9345
18,863,0.929
18,850,0.9315
26,696,0.9151
18,154,0.9275
14,70,0.9465
26,410,0.6312
31,840,0.9074
18,513,0.9165
8,193,0.607
26,365,0.8847
26,765,0.9197
18,576,0.901
26,165,0.8554
26,525,0.5634
18,344,0.9205
14,761,0.9529
18,603,0.921
14,665,0.9461
18,341,0.9165
26,692,0.9232
18,704,0.923
64,511,0.43
46,772,0.82
31,543,0.9395
16,579,0.8235
26,128,0.507
26,408,0.5634
26,769,0.9644
18,115,0.921
31,564,0.86
10,235,0.51
14,242,0.9184
14,962,0.9184
31,635,0.86
26,385,0.5702
18,973,0.9255
26,412,0.8848
18,73,0.8885
31,753,0.8633
48,117,0.281
26,990,0.9356
18,845,0.9305
24,469,0.742
26,403,0.8005
26,166,0.9033
26,423,0.4982
26,384,0.6
18,658,0.915
18,709,0.924
18,573,0.924
14,666,0.9187
54,291,0.989
26,386,0.568
46,870,0.84
18,196,0.912
18,623,0.9225
18,467,0.9225
26,133,0.8456
31,806,0.916
31,647,0.9
18,248,0.938
26,420,0.6343
26,447,0.4621
57,172,0.97
18,203,0.9215
55,478,0.834
18,705,0.913
18,642,0.9265
14,903,0.8265
41,265,0.799
37,699,0.9014
58,914,0.819
18,681,0.924
26,857,0.8603
26,691,0.6209
18,192,0.925
10,214,0.537
18,746,0.9275
18,487,0.924
18,488,0.924
18,968,0.928
26,439,0.1408
26,950,0.9323
51,340,0.933
46,960,0.841
14,992,0.9174
18,535,0.9235
26,398,0.4477
58,230,0.458
14,515,0.9184
18,989,0.933
26,376,0.8853
4,556,0.934
26,399,0.7775
58,163,0.73
26,416,0.5717
18,159,0.924
26,424,0.8635
26,690,0.8627
14,348,0.9155
18,764,0.9215
18,462,0.925
18,938,0.927
18,879,0.929
18,276,0.9265
14,739,0.94
18,787,0.9255
14,864,0.9487
26,451,0.8544
18,995,0.9365
18,497,0.926
18,993,0.924
26,366,0.6282
18,833,0.9235
26,392,0.7995
53,814,0.993
18,72,0.9215
18,247,0.9245
26,396,0.5054
31,668,0.8767
18,633,0.934
18,822,0.9255
18,594,0.9245
35,924,0.833
14,679,0.9474
18,836,0.9005
26,639,0.6814
18,566,0.919
14,611,0.9768
26,271,0.9014
26,933,0.8627
26,352,0.841
18,987,0.926
14,586,0.9471
64,975,0.678
18,663,0.9245
64,780,0.973
18,67,0.9275
18,351,0.9185
26,106,0.9068
31,539,0.8667
18,465,0.923
31,641,0.86
18,375,0.8955
14,160,0.9458
14,881,0.9161
10,218,0.548
26,480,0.9335
29,162,0.629
7,736,0.925
18,350,0.923
38,177,0.942
18,757,0.932
18,120,0.9165
0,318,0.938
4,672,0.693
30,493,0.688
26,426,0.1268
4,816,0.581
11,212,0.888
26,437,0.7867
26,379,0.6208
26,504,0.8456
54,66,0.989
26,570,0.8284
46,820,0.839
26,419,0.654
14,738,0.9319
26,136,0.9083
31,748,0.8733
18,859,0.9245
7,767,0.922
26,175,0.9346
31,328,0.909
18,103,0.926
18,292,0.9245
26,137,0.5634
18,149,0.923
26,941,0.828
31,838,0.9294
26,994,0.7034
32,83,0.94
58,205,0.513
18,889,0.9245
26,108,0.6679
18,891,0.9285
5,116,0.48
11,237,0.878
41,264,0.908
18,310,0.9265
14,201,0.9161
26,926,0.8549
31,537,0.86
18,730,0.9325
26,466,0.8137
58,653,0.716
26,947,0.9154
18,296,0.9245
26,358,0.4648
26,430,0.6007
14,734,0.9332
18,741,0.913
26,626,0.8314
26,754,0.9438
18,789,0.927
26,763,0.9209
17,473,0.497
26,140,0.6895
25,720,0.875
18,565,0.9265
26,659,0.848
46,542,0.839
18,112,0.923
18,458,0.9415
18,590,0.931
49,640,0.825
18,742,0.9225
14,613,0.9255
18,636,0.9265
26,706,0.9399
52,91,0.711
26,135,0.6173
26,355,0.9084
18,98,0.922
18,549,0.9245
26,414,0.6072
14,113,0.9487
52,89,0.728
64,792,0.616
18,294,0.924
12,560,0.788
64,885,0.56
14,678,0.9506
18,148,0.927
14,743,0.9468
18,797,0.926
18,602,0.9265
18,251,0.933
26,431,0.6032
8,195,0.624
64,517,0.634
26,411,0.8946
26,526,0.902
9,819,0.812
26,356,0.6715
26,942,0.9087
32,82,0.9
26,372,0.9048
64,868,0.685
26,409,0.656
18,728,0.9245
26,125,0.5352
18,540,0.923
18,710,0.9215
31,939,0.866
47,605,0.831
47,604,0.908
31,484,0.8733
26,138,0.8231
18,892,0.925
31,956,0.86
26,370,0.8943
49,778,0.893
18,377,0.9285
18,910,0.928
26,949,0.7581
26,943,0.8981
26,520,0.8578
41,854,0.822
26,948,0.9013
27,546,0.583
52,90,0.722
26,895,0.8456
26,524,0.9323
26,454,0.1408
58,249,0.809
14,918,0.9394
26,946,0.8657
26,871,0.9014
14,250,0.9171
31,255,0.8633
13,259,0.716
18,534,0.926
14,550,0.9477
26,189,0.5092
26,291,0.911
18,553,0.9305
26,932,0.9278
18,505,0.927
4,153,0.761
14,919,0.9174
26,244,0.8486
31,459,0.9314
4,700,0.583
18,893,0.838
18,911,0.921
18,878,0.927
4,457,0.931
18,464,0.92
60,703,0.74
26,164,0.8968
18,147,0.922
31,74,0.8733
14,612,0.9765
31,841,0.9672
18,667,0.9215
4,273,0.932
26,190,0.8206
18,801,0.925
31,922,0.88
39,873,0.872
31,851,0.904
20,299,0.929
18,669,0.9405
26,945,0.914
31,731,0.925
26,105,0.8382
26,422,0.5199
18,936,0.928
26,122,0.7581
58,223,0.786
18,907,0.925
26,693,0.8949
58,231,0.567
31,330,0.8667
18,485,0.917
14,964,0.9303
18,711,0.9215
26,694,0.8746
31,270,0.87
26,867,0.7328
16,578,0.8167
18,312,0.924
26,371,0.6426
64,976,0.568
55,483,0.744
18,69,0.927
26,760,0.922
18,275,0.924
18,809,0.922
55,474,0.709
26,363,0.7721
26,394,0.491
18,316,0.926
14,598,0.9184
18,974,0.9245
14,835,0.9184
31,188,0.86
26,428,0.8505
4,823,0.932
