dataset_id,model_id,according accuracy
31,596,0.923
14,551,0.9184
31,537,0.86
18,186,0.9365
18,652,0.9315
18,115,0.921
26,363,0.7721
31,800,0.8667
26,164,0.8968
18,269,0.9275
26,366,0.6282
10,209,0.499
26,135,0.6173
26,934,0.848
11,215,0.879
64,518,0.628
64,784,0.987
8,194,0.59
26,519,0.8501
18,633,0.934
18,553,0.9305
10,227,0.536
26,661,0.9014
26,476,0.9141
18,722,0.924
21,575,0.98
14,253,0.9152
57,171,0.974
31,306,0.8767
26,396,0.5054
64,976,0.568
7,767,0.922
18,147,0.922
14,144,0.9184
26,521,0.9125
64,792,0.616
18,667,0.9215
26,165,0.8554
18,566,0.919
14,587,0.9174
26,766,0.9427
26,948,0.9013
31,671,0.8767
18,494,0.926
18,669,0.9405
18,295,0.926
18,119,0.9175
26,475,0.8554
31,314,0.928
18,680,0.9425
14,862,0.9174
14,200,0.941
18,953,0.9225
18,847,0.923
14,739,0.94
52,92,0.711
26,570,0.8284
14,881,0.9161
18,631,0.9
14,463,0.9116
5,116,0.48
14,598,0.9184
55,478,0.834
47,604,0.908
59,715,0.946
14,738,0.9319
18,203,0.9215
14,267,0.9148
26,390,0.7887
18,274,0.923
26,691,0.6209
26,496,0.9014
31,641,0.86
14,834,0.95
39,873,0.872
4,823,0.932
18,294,0.924
26,431,0.6032
26,418,0.6562
26,654,0.9014
14,71,0.9174
26,933,0.8627
57,172,0.97
18,917,0.8885
7,609,0.924
26,448,0.4657
26,122,0.7581
26,626,0.8314
18,966,0.9235
18,341,0.9165
20,299,0.929
60,703,0.74
26,639,0.6814
26,146,0.848
18,794,0.923
26,692,0.9232
26,80,0.5493
31,287,0.9302
14,151,0.9113
18,307,0.945
62,322,0.75
26,134,0.6065
26,902,0.9255
18,585,0.92
14,160,0.9458
18,704,0.923
26,392,0.7995
18,563,0.929
14,256,0.9468
18,916,0.9195
26,858,0.8554
14,241,0.949
26,387,0.5702
26,693,0.8949
18,180,0.9425
11,229,0.89
26,944,0.6534
18,936,0.928
11,220,0.892
31,996,0.8733
18,637,0.903
31,543,0.9395
18,332,0.9385
26,166,0.9033
26,290,0.8968
51,339,0.929
58,653,0.716
18,906,0.924
58,225,0.713
26,899,0.886
26,95,0.8578
26,941,0.828
18,874,0.925
31,749,0.8633
18,248,0.938
14,176,0.9174
14,865,0.92
26,427,0.1549
22,198,0.788
26,109,0.9037
26,441,0.9877
48,117,0.281
18,892,0.925
26,803,0.9157
64,977,0.736
18,911,0.921
64,978,0.205
26,949,0.7581
26,240,0.9014
14,345,0.9184
18,848,0.923
41,959,0.836
14,828,0.9448
26,886,0.9151
18,931,0.9245
31,338,0.8767
26,694,0.8746
58,756,0.81
26,372,0.9048
31,181,0.8567
18,351,0.9185
54,66,0.989
49,779,0.84
14,740,0.9729
14,622,0.9161
52,93,0.726
26,75,0.8578
14,615,0.9739
14,586,0.9471
31,278,0.8667
18,677,0.9295
18,716,0.9255
18,974,0.9245
50,94,0.918
14,252,0.9458
18,374,0.9245
26,942,0.9087
26,190,0.8206
31,74,0.8733
14,507,0.9432
18,935,0.9235
14,304,0.9168
18,907,0.925
18,268,0.922
64,868,0.685
26,408,0.5634
18,988,0.923
