dataset_id,model_id,according accuracy
26,693,0.8949
64,869,0.671
18,375,0.8955
31,671,0.8767
18,729,0.9245
26,946,0.8657
18,554,0.9255
64,780,0.973
35,541,0.085
11,220,0.892
31,887,0.8733
26,661,0.9014
11,211,0.868
26,466,0.8137
26,520,0.8578
18,148,0.927
32,168,0.93
18,142,0.9235
18,617,0.9325
64,468,0.205
26,431,0.6032
49,777,0.84
20,299,0.929
14,825,0.9152
26,972,0.8554
4,759,0.748
26,696,0.9151
26,136,0.9083
26,421,0.5523
26,769,0.9644
31,838,0.9294
18,87,0.9345
26,401,0.7913
26,133,0.8456
14,113,0.9487
64,792,0.616
18,863,0.929
26,530,0.9358
8,195,0.624
18,973,0.9255
25,720,0.875
18,711,0.9215
26,436,0.7936
18,307,0.945
26,860,0.8603
18,735,0.928
31,543,0.9395
26,886,0.9151
18,705,0.913
26,754,0.9438
18,72,0.9215
26,426,0.1268
26,934,0.848
14,267,0.9148
31,539,0.8667
46,890,0.843
18,512,0.9245
14,253,0.9152
31,800,0.8667
14,508,0.9184
59,715,0.946
54,291,0.989
55,474,0.709
31,807,0.89
27,546,0.583
18,534,0.926
18,73,0.8885
16,581,0.8689
26,139,0.5634
26,858,0.8554
18,68,0.928
31,731,0.925
18,351,0.9185
26,521,0.9125
26,529,0.7978
26,571,0.8824
18,817,0.9265
64,804,0.642
26,943,0.8981
18,263,0.9245
31,806,0.916
26,106,0.9068
25,718,0.89
26,503,0.8578
26,392,0.7995
18,191,0.896
4,676,0.737
14,622,0.9161
18,634,0.9215
26,442,0.9877
64,723,0.562
26,383,0.5655
14,679,0.9474
7,609,0.924
14,143,0.9506
18,988,0.923
26,689,0.7862
26,190,0.8206
18,786,0.925
18,576,0.901
14,861,0.9455
18,842,0.923
31,646,0.87
31,753,0.8633
14,548,0.9181
4,823,0.932
31,484,0.8733
26,95,0.8578
46,542,0.839
26,519,0.8501
26,359,0.6838
31,300,0.8633
18,938,0.927
14,587,0.9174
26,402,0.7878
26,430,0.6007
26,951,0.8456
58,163,0.73
39,873,0.872
31,668,0.8767
26,80,0.5493
26,413,0.9902
26,899,0.886
18,704,0.923
26,942,0.9087
26,382,0.6353
18,470,0.927
18,505,0.927
18,616,0.921
0,318,0.938
18,898,0.7825
58,223,0.786
18,831,0.9265
52,92,0.711
31,727,0.8767
14,114,0.9177
26,765,0.9197
18,347,0.834
18,936,0.928
58,204,0.46
14,551,0.9184
26,419,0.654
26,454,0.1408
14,304,0.9168
18,458,0.9415
31,662,0.8667
26,385,0.5702
18,797,0.926
4,601,0.84
26,654,0.9014
26,389,0.8026
14,864,0.9487
14,284,0.9448
18,344,0.9205
14,489,0.9429
28,567,0.993
26,403,0.8005
18,848,0.923
26,138,0.8231
26,303,0.8456
14,732,0.9168
18,594,0.9245
