(1203,41)	[2, 0.183632735, 0.184, 0.407503865, 0.210488439, 0.183632735, 0.15801731, 0.10429804, 0.816367265, 1.757997996, 3.780776821]
(1313,0)	[3, 0.038525963, 0.038575978, 0.243432009, 0.076214218, 0.038525963, 0.043290047, 0.022277166, 0.961474037, 4.264490873, 1.604468113]
(1409,53)	[3, 0.481596147, 0.333837427, 0.455502448, 0.408818347, 0.481596147, 0.32057977, 0.235301295, 0.518403853, 17.26894955, 22.8406854]
(1490,51)	[3, 0.5, 0.5, 0.57663664, 0.25, 0.5, 0.333333333, 0.25, 0.5, 6.70846136, 1.23767004]
(876,2)	[2, 0.174944403, 0.189822774, 0.456215022, 0.099912255, 0.174944403, 0.095304581, 0.054270562, 0.825055597, 1.964469035, 5.907133829]
(1699,42)	[2, 0.387351779, 0.5, 0.502435813, 0.1500414, 0.387351779, 0.216298999, 0.1500414, 0.612648221, 5.992609261, 6.861549121]
(1040,14)	[3, 0.489, 0.489, 0.742531, 0.247219414, 0.489, 0.328408328, 0.2445, 0.511, 5.65672651, 1.423765659]
(975,70)	[3, 0.292517007, 0.308501624, 0.582345113, 0.297853292, 0.292517007, 0.193897379, 0.118271027, 0.707482993, 1.948407009, 1.888251359]
(1457,3)	[3, 0.139453887, 0.140265781, 0.531940647, 0.136009109, 0.139453887, 0.089857602, 0.04914918, 0.860546113, 2.944125138, 2.152078263]
(1709,42)	[2, 0.347826087, 0.43959842, 0.741705069, 0.291145736, 0.347826087, 0.229269483, 0.147656959, 0.652173913, 14.27293698, 4.402464086]
(381,7)	[3, 0.9915, 0.9915, 0.999174, 0.991500492, 0.9915, 0.991499998, 0.983143278, 0.0085, 0.025600511, 2.237094879]
(607,52)	[3, 0.343977922, 0.343977922, 0.731810889, 0.495119552, 0.343977922, 0.199344129, 0.133155129, 0.656022078, 4.017395254, 2.578277313]
(271,38)	[3, 0.5, 0.5, 0.9618, 0.25, 0.5, 0.333333333, 0.25, 0.5, 9.739003222, 1.132135391]
(1806,7)	[3, 0.332, 0.332, 0.714899, 0.322443182, 0.332, 0.322888792, 0.195148167, 0.668, 0.85571559, 2.288616061]
(1025,12)	[3, 0.3805, 0.3805, 0.751116, 0.348249922, 0.3805, 0.345738947, 0.219130815, 0.6195, 1.1252019, 0.95495224]
(1531,44)	[3, 0.448258197, 0.567843319, 0.605375923, 0.687534082, 0.448258197, 0.448387892, 0.288981983, 0.551741803, 0.730223328, 3.472127061]
(1821,7)	[3, 0.5305, 0.5305, 0.515459, 0.542227917, 0.5305, 0.495469298, 0.339779033, 0.4695, 2.197925209, 1.371189952]
(688,57)	[0, 0.086194302, 0.078044692, 0.428732296, 0.016739468, 0.086194302, 0.024236572, 0.013076432, 0.913805698, 4.558416793, 3.677439916]
(437,12)	[3, 0.518, 0.518, 0.503688, 0.520480239, 0.518, 0.502951355, 0.340435669, 0.482, 5.553237969, 0.988748193]
(1183,44)	[3, 0.881659836, 0.856870677, 0.927725383, 0.883502835, 0.881659836, 0.882440262, 0.794329509, 0.118340164, 2.122498884, 3.028203067]
(397,34)	[3, 0.503924133, 0.503924133, 0.500584728, 0.637351779, 0.503924133, 0.344805139, 0.256116538, 0.496075867, 4.253243952, 1.88991406]
(748,13)	[3, 0.479708637, 0.5, 0.64386551, 0.230120376, 0.479708637, 0.311034714, 0.230120376, 0.520291363, 17.6710116, 6.042504286]
(531,18)	[2, 0.500456621, 0.49185398, 0.522309447, 0.498433371, 0.500456621, 0.499296676, 0.335297217, 0.499543379, 0.703731873, 8.714921507]
(1035,69)	[3, 0.511673152, 0.513212232, 0.53088532, 0.518371682, 0.511673152, 0.475266783, 0.322327476, 0.488326848, 1.486603379, 2.37602181]
(662,22)	[2, 0.499272904, 0.500192012, 0.504683123, 0.500925732, 0.499272904, 0.49916819, 0.332597837, 0.500727096, 0.909564151, 4.967677495]
