dataset_id,model_id,according accuracy
18,155,0.6
16,583,0.828
26,261,0.704
26,443,0.9926
26,571,0.8824
31,748,0.8733
14,151,0.9113
14,904,0.9158
26,626,0.8314
18,268,0.922
14,548,0.9181
52,92,0.711
22,198,0.788
47,605,0.831
26,358,0.4648
14,489,0.9429
46,890,0.843
18,993,0.924
55,483,0.744
18,764,0.9215
14,256,0.9468
14,621,0.9471
26,475,0.8554
31,306,0.8767
41,264,0.908
18,810,0.9215
18,911,0.921
38,277,0.888
26,943,0.8981
64,791,0.587
7,736,0.925
18,680,0.9425
11,228,0.876
26,454,0.1408
18,953,0.9225
26,846,0.9323
18,667,0.9215
26,947,0.9154
18,799,0.927
38,319,0.957
26,97,0.9037
18,797,0.926
6,152,0.818
31,646,0.87
18,464,0.92
14,982,0.9184
18,111,0.924
64,975,0.678
26,504,0.8456
26,901,0.8634
31,645,0.9178
18,112,0.923
18,563,0.929
31,708,0.9214
58,282,0.71
14,739,0.94
26,436,0.7936
26,130,0.7917
18,549,0.9245
18,145,0.926
31,539,0.8667
26,395,0.5199
26,382,0.6353
18,984,0.9215
18,822,0.9255
31,922,0.88
7,721,0.924
18,77,0.928
49,774,0.853
18,802,0.9265
61,702,0.748
16,582,0.8691
11,237,0.878
31,628,0.8667
14,861,0.9455
64,780,0.973
26,422,0.5199
18,809,0.922
18,916,0.9195
14,732,0.9168
26,693,0.8949
10,217,0.513
26,271,0.9014
31,564,0.86
26,448,0.4657
18,553,0.9305
18,787,0.9255
14,113,0.9487
26,639,0.6814
26,689,0.7862
18,608,0.39
46,773,0.867
18,879,0.929
26,449,0.4838
26,127,0.5634
31,300,0.8633
26,451,0.8544
26,496,0.9014
26,424,0.8635
18,987,0.926
18,377,0.9285
26,404,0.0845
58,232,0.783
18,859,0.9245
18,610,0.925
64,293,0.954
18,599,0.902
18,801,0.925
18,275,0.924
18,488,0.924
26,429,0.6099
18,494,0.926
18,725,0.925
18,594,0.9245
26,104,0.823
37,701,0.8796
14,687,0.9187
64,511,0.43
26,425,0.8406
18,248,0.938
26,408,0.5634
18,470,0.927
14,201,0.9161
26,75,0.8578
18,877,0.927
20,299,0.929
58,204,0.46
64,952,0.559
31,830,0.6833
4,333,0.932
32,81,0.902
18,928,0.9215
11,216,0.896
16,578,0.8167
18,534,0.926
18,747,0.9175
25,720,0.875
26,380,0.5946
14,835,0.9184
20,298,0.933
26,189,0.5092
26,260,0.9119
26,384,0.6
26,500,0.8505
58,230,0.458
26,353,0.8603
31,574,0.87
26,109,0.9037
64,782,0.967
18,317,0.9285
18,191,0.896
18,856,0.923
31,795,0.9319
64,792,0.616
14,515,0.9184
18,247,0.9245
64,783,0.96
18,585,0.92
26,498,0.8775
4,700,0.583
26,372,0.9048
9,818,0.814
18,892,0.925
18,874,0.925
10,214,0.537
26,570,0.8284
31,670,0.9267
25,325,0.978
18,863,0.929
26,124,0.5487
14,161,0.9184
18,636,0.9265
26,108,0.6679
58,208,0.709
26,370,0.8943
26,418,0.6562
18,685,0.927
26,502,0.875
18,555,0.9245
26,406,0.1268
18,845,0.9305
64,977,0.736
26,245,0.8578
26,385,0.5702
14,962,0.9184
12,561,0.761
18,808,0.9245
18,716,0.9255
41,959,0.836
64,100,0.513
26,529,0.7978
18,374,0.9245
14,253,0.9152
18,292,0.9245
26,122,0.7581
26,129,0.7917
18,973,0.9255
31,255,0.8633
26,523,0.6895
18,836,0.9005
18,893,0.838
18,752,0.925
18,505,0.927
18,324,0.923
18,817,0.9265
18,465,0.923
16,584,0.8038
11,212,0.888
4,153,0.761
26,526,0.902
58,225,0.713
26,389,0.8026
18,309,0.9295
31,641,0.86
31,537,0.86
26,654,0.9014
26,303,0.8456
7,609,0.924
4,601,0.84
32,82,0.9
26,521,0.9125
26,128,0.507
18,286,0.922
26,433,0.4693
18,375,0.8955
18,566,0.919
26,364,0.8439
18,637,0.903
26,902,0.9255
18,149,0.923
26,994,0.7034
14,881,0.9161
18,78,0.9275
10,226,0.503
18,492,0.927
18,643,0.934
22,197,0.749
26,396,0.5054
50,94,0.918
14,176,0.9174
18,351,0.9185
16,581,0.8689
26,971,0.8505
65,719,0.911
18,627,0.922
18,79,0.9335
18,87,0.9345
18,294,0.924
26,932,0.9278
26,402,0.7878
14,490,0.9135
55,477,0.79
26,438,0.1268
26,754,0.9438
26,367,0.8945
