dataset_id,model_id,according accuracy
26,393,0.7735
31,795,0.9319
64,783,0.96
31,753,0.8633
18,157,0.92
26,397,0.4982
18,853,0.9205
26,439,0.1408
26,426,0.1268
18,729,0.9245
26,943,0.8981
18,269,0.9275
37,701,0.8796
26,529,0.7978
18,536,0.9225
18,351,0.9185
18,296,0.9245
18,305,0.9255
26,130,0.7917
32,170,0.935
18,879,0.929
18,966,0.9235
26,104,0.823
26,291,0.911
31,830,0.6833
26,419,0.654
14,151,0.9113
14,348,0.9155
18,833,0.9235
41,265,0.799
26,361,0.3521
55,472,0.772
14,71,0.9174
14,903,0.8265
26,639,0.6814
18,192,0.925
8,195,0.624
46,773,0.867
35,924,0.833
31,807,0.89
18,196,0.912
26,577,0.8345
64,952,0.559
26,449,0.4838
26,755,0.8567
14,919,0.9174
64,723,0.562
14,173,0.9148
49,778,0.893
18,985,0.9355
18,832,0.9215
26,75,0.8578
54,592,0.876
18,72,0.9215
18,488,0.924
31,838,0.9294
18,112,0.923
15,532,0.976
26,420,0.6343
26,404,0.0845
26,428,0.8505
31,329,0.8733
26,366,0.6282
26,479,0.6462
26,476,0.9141
10,214,0.537
26,690,0.8627
11,228,0.876
31,638,0.928
26,436,0.7936
18,344,0.9205
14,463,0.9116
18,625,0.925
31,967,0.9361
14,200,0.941
26,661,0.9014
18,324,0.923
64,780,0.973
25,940,0.862
14,734,0.9332
11,219,0.882
26,945,0.914
26,240,0.9014
58,222,0.561
26,352,0.841
14,257,0.9161
64,717,0.592
26,423,0.4982
14,176,0.9174
18,505,0.927
31,297,0.87
26,244,0.8486
31,855,0.8767
18,752,0.925
18,562,0.923
26,950,0.9323
26,951,0.8456
26,503,0.8578
7,609,0.924
64,781,0.973
11,211,0.868
25,872,0.992
26,127,0.5634
18,534,0.926
18,705,0.913
22,198,0.788
26,418,0.6562
18,334,0.9245
18,786,0.925
10,227,0.536
31,591,0.8733
64,977,0.736
18,182,0.9285
64,326,0.557
26,346,0.9128
14,918,0.9394
31,628,0.8667
18,497,0.926
26,654,0.9014
58,249,0.809
26,754,0.9438
26,525,0.5634
40,510,0.902
58,232,0.783
18,148,0.927
31,74,0.8733
26,365,0.8847
31,321,0.9126
18,616,0.921
18,595,0.921
35,541,0.085
4,273,0.932
18,909,0.926
18,973,0.9255
26,408,0.5634
26,189,0.5092
14,551,0.9184
2,102,0.815
4,751,0.931
14,611,0.9768
