dataset_id,model_id,according accuracy
18,892,0.925
18,831,0.9265
11,219,0.882
18,801,0.925
18,912,0.9285
26,407,0.1268
31,635,0.86
18,286,0.922
26,106,0.9068
18,142,0.9235
31,331,0.87
18,746,0.9275
26,416,0.5717
18,119,0.9175
26,378,0.8199
18,847,0.923
26,137,0.5634
26,382,0.6353
18,997,0.9325
18,936,0.928
14,732,0.9168
26,166,0.9033
18,495,0.923
26,371,0.6426
26,502,0.875
18,311,0.937
18,196,0.912
55,471,0.726
26,557,0.8616
26,994,0.7034
26,364,0.8439
13,259,0.716
26,693,0.8949
14,611,0.9768
41,854,0.822
26,441,0.9877
31,807,0.89
26,383,0.5655
26,397,0.4982
26,365,0.8847
31,671,0.8767
18,917,0.8885
18,884,0.923
53,814,0.993
18,880,0.9245
14,649,0.9171
14,834,0.95
31,996,0.8733
26,396,0.5054
12,561,0.761
26,454,0.1408
26,107,0.8989
26,754,0.9438
26,385,0.5702
4,457,0.931
18,67,0.9275
18,77,0.928
18,725,0.925
26,886,0.9151
26,447,0.4621
18,280,0.928
18,624,0.924
18,677,0.9295
18,808,0.9245
18,938,0.927
18,660,0.925
18,185,0.929
16,582,0.8691
26,790,0.9037
32,170,0.935
8,194,0.59
26,400,0.7867
14,489,0.9429
58,232,0.783
18,987,0.926
31,543,0.9395
26,420,0.6343
9,818,0.814
26,405,0.1268
35,924,0.833
26,389,0.8026
64,717,0.592
64,804,0.642
18,295,0.926
64,781,0.973
18,470,0.927
4,816,0.581
26,439,0.1408
18,608,0.39
14,665,0.9461
26,104,0.823
18,79,0.9335
31,708,0.9214
14,515,0.9184
26,402,0.7878
18,87,0.9345
64,723,0.562
31,749,0.8633
18,275,0.924
58,208,0.709
31,662,0.8667
18,145,0.926
26,437,0.7867
18,623,0.9225
26,190,0.8206
47,604,0.908
8,193,0.607
26,108,0.6679
46,961,0.841
26,858,0.8554
14,285,0.9187
31,646,0.87
18,643,0.934
18,910,0.928
31,967,0.9361
31,538,0.8667
31,641,0.86
26,456,0.8383
18,983,0.921
62,322,0.75
31,243,0.86
44,826,0.815
18,155,0.6
18,294,0.924
11,238,0.895
14,622,0.9161
35,541,0.085
18,192,0.925
31,574,0.87
31,795,0.9319
18,554,0.9255
64,326,0.557
26,846,0.9323
64,868,0.685
18,891,0.9285
18,724,0.921
26,690,0.8627
32,82,0.9
18,850,0.9315
7,721,0.924
21,575,0.98
39,873,0.872
18,274,0.923
32,167,0.937
18,462,0.925
26,424,0.8635
31,459,0.9314
26,639,0.6814
18,905,0.924
55,478,0.834
26,80,0.5493
49,775,0.82
26,139,0.5634
18,907,0.925
64,323,0.781
26,240,0.9014
57,172,0.97
18,69,0.927
4,759,0.748
26,379,0.6208
31,980,0.8733
18,302,0.929
38,277,0.888
18,797,0.926
31,174,0.8767
55,477,0.79
31,851,0.904
18,993,0.924
26,367,0.8945
18,770,0.9185
18,85,0.936
26,503,0.8578
31,644,0.87
14,201,0.9161
14,620,0.9171
26,394,0.491
26,410,0.6312
18,111,0.924
18,716,0.9255
18,283,0.924
14,824,0.9458
18,509,0.9285
58,204,0.46
18,269,0.9275
14,200,0.941
26,661,0.9014
14,734,0.9332
