dataset_id,model_id,according accuracy
18,669,0.9405
18,158,0.934
26,696,0.9151
55,481,0.754
31,996,0.8733
31,484,0.8733
18,643,0.934
26,569,0.8284
31,270,0.87
18,683,0.924
18,239,0.9295
14,875,0.9429
18,565,0.9265
4,700,0.583
13,259,0.716
21,575,0.98
14,342,0.9406
18,77,0.928
18,983,0.921
26,639,0.6814
31,619,0.8767
18,637,0.903
14,649,0.9171
26,901,0.8634
26,95,0.8578
18,458,0.9415
14,896,0.9368
26,501,0.8529
31,923,0.88
18,894,0.925
26,373,0.3803
53,655,0.992
26,440,0.1549
18,797,0.926
64,315,0.586
18,115,0.921
26,122,0.7581
10,218,0.548
26,422,0.5199
31,486,0.9307
22,197,0.749
26,366,0.6282
26,384,0.6
26,571,0.8824
18,704,0.923
11,219,0.882
20,299,0.929
14,262,0.9158
26,557,0.8616
18,911,0.921
0,686,0.939
14,586,0.9471
30,493,0.688
18,279,0.9205
31,338,0.8767
14,897,0.8532
18,516,0.9205
31,851,0.904
26,423,0.4982
10,226,0.503
64,618,0.24
9,819,0.812
14,733,0.9468
26,404,0.0845
31,840,0.9074
58,223,0.786
14,241,0.949
42,785,0.905
31,812,0.9297
32,83,0.94
20,298,0.933
54,592,0.876
18,566,0.919
18,311,0.937
18,268,0.922
31,838,0.9294
26,427,0.1549
32,168,0.93
26,500,0.8505
18,979,0.9235
5,116,0.48
18,910,0.928
18,796,0.927
26,413,0.9902
48,117,0.281
31,800,0.8667
58,282,0.71
18,845,0.9305
18,652,0.9315
15,532,0.976
26,925,0.8205
31,331,0.87
18,112,0.923
31,188,0.86
26,858,0.8554
18,301,0.9335
31,460,0.8733
26,444,0.5923
26,815,0.8676
14,732,0.9168
18,966,0.9235
18,602,0.9265
26,402,0.7878
55,471,0.726
18,627,0.922
18,145,0.926
14,267,0.9148
18,317,0.9285
31,922,0.88
16,578,0.8167
18,863,0.929
31,807,0.89
26,502,0.875
26,127,0.5634
31,980,0.8733
52,90,0.722
26,526,0.902
26,803,0.9157
64,293,0.954
18,798,0.8945
26,942,0.9087
18,786,0.925
18,898,0.7825
18,667,0.9215
4,457,0.931
26,693,0.8949
18,147,0.922
26,349,0.8326
26,271,0.9014
14,829,0.9184
26,521,0.9125
31,837,0.8533
14,828,0.9448
18,987,0.926
14,151,0.9113
26,754,0.9438
64,781,0.973
18,595,0.921
31,795,0.9319
26,852,0.8219
31,328,0.909
18,832,0.9215
65,718,0.884
29,162,0.629
31,638,0.928
18,680,0.9425
26,453,0.1268
26,994,0.7034
31,748,0.8733
26,790,0.9037
31,670,0.9267
55,474,0.709
26,456,0.8383
31,174,0.8767
26,260,0.9119
18,724,0.921
61,900,0.625
14,515,0.9184
14,881,0.9161
26,136,0.9083
4,153,0.761
18,150,0.924
26,419,0.654
26,75,0.8578
26,445,0.5779
26,131,0.6643
18,642,0.9265
18,554,0.9255
38,319,0.957
18,78,0.9275
18,505,0.927
4,674,0.55
26,902,0.9255
18,848,0.923
26,190,0.8206
18,936,0.928
26,570,0.8284
58,207,0.844
18,957,0.919
18,180,0.9425
18,856,0.923
31,929,0.8733
18,722,0.924
26,408,0.5634
32,84,0.902
14,611,0.9768
18,156,0.922
18,563,0.929
49,778,0.893
18,497,0.926
18,741,0.913
26,407,0.1268
64,723,0.562
26,523,0.6895
14,176,0.9174
35,924,0.833
26,433,0.4693
18,663,0.9245
26,763,0.9209
18,831,0.9265
18,286,0.922
65,719,0.911
31,297,0.87
18,853,0.9205
18,813,0.9215
18,878,0.927
14,143,0.9506
18,593,0.925
26,448,0.4657
58,225,0.713
46,960,0.841
18,276,0.9265
31,843,0.8733
26,405,0.1268
31,574,0.87
26,933,0.8627
55,477,0.79
26,376,0.8853
14,965,0.9165
26,403,0.8005
26,769,0.9644
18,617,0.9325
26,369,0.826
14,514,0.9352
26,436,0.7936
26,356,0.6715
18,98,0.922
26,524,0.9323
18,658,0.915
31,955,0.9552
26,391,0.7888
18,334,0.9245
18,87,0.9345
18,909,0.926
18,882,0.939
31,727,0.8767
18,608,0.39
16,582,0.8691
18,248,0.938
26,388,0.5702
14,865,0.92
18,660,0.925
26,475,0.8554
26,396,0.5054
14,678,0.9506
31,327,0.8867
14,918,0.9394
26,80,0.5493
64,978,0.205
58,221,0.462
64,323,0.781
14,551,0.9184
18,889,0.9245
14,834,0.95
26,401,0.7913
0,318,0.938
14,598,0.9184
49,775,0.82
14,343,0.9187
26,442,0.9877
18,953,0.9225
64,792,0.616
26,359,0.6838
26,689,0.7862
18,534,0.926
18,981,0.922
49,774,0.853
19,320,0.99
26,860,0.8603
34,629,0.775
18,805,0.926
14,161,0.9184
32,170,0.935
18,842,0.923
7,721,0.924
14,737,0.94
26,449,0.4838
18,302,0.929
26,368,0.5493
26,389,0.8026
18,986,0.924
26,387,0.5702
26,926,0.8549
18,495,0.923
18,576,0.901
18,111,0.924
18,810,0.9215
18,888,0.924
31,855,0.8767
26,412,0.8848
18,633,0.934
26,124,0.5487
18,283,0.924
18,836,0.9005
6,152,0.818
33,688,0.913
26,430,0.6007
26,128,0.507
26,139,0.5634
18,120,0.9165
18,295,0.926
18,827,0.922
16,581,0.8689
26,175,0.9346
26,527,0.9246
46,870,0.84
18,921,0.9375
18,808,0.9245
26,476,0.9141
18,142,0.9235
41,959,0.836
26,417,0.5578
26,429,0.6099
26,386,0.568
18,461,0.9245
31,300,0.8633
58,206,0.704
26,105,0.8382
26,290,0.8968
31,749,0.8633
49,776,0.833
18,536,0.9225
58,230,0.458
14,201,0.9161
18,186,0.9365
14,665,0.9461
31,243,0.86
56,714,0.851
10,214,0.537
31,635,0.86
31,682,0.8633
18,185,0.929
52,91,0.711
11,211,0.868
26,397,0.4982
64,784,0.987
26,361,0.3521
8,194,0.59
11,238,0.895
14,114,0.9177
26,695,0.8922
31,939,0.866
18,938,0.927
31,597,0.9303
51,340,0.933
26,895,0.8456
18,324,0.923
26,529,0.7978
31,830,0.6833
26,944,0.6534
4,676,0.737
18,764,0.9215
18,801,0.925
31,806,0.916
18,119,0.9175
47,605,0.831
18,625,0.925
26,970,0.8529
31,543,0.9395
26,577,0.8345
18,589,0.9225
26,379,0.6208
14,761,0.9529
61,702,0.748
62,322,0.75
22,199,0.814
14,70,0.9465
46,773,0.867
26,414,0.6072
18,296,0.9245
26,480,0.9335
25,872,0.992
18,908,0.9255
14,738,0.9319
31,596,0.923
26,425,0.8406
4,601,0.84
18,651,0.928
18,913,0.921
26,706,0.9399
26,381,0.6201
18,799,0.927
58,233,0.863
14,548,0.9181
26,187,0.945
12,560,0.788
18,274,0.923
25,325,0.978
14,824,0.9458
18,272,0.9215
26,125,0.5352
18,995,0.9365
43,558,0.904
18,184,0.928
26,371,0.6426
18,730,0.9325
18,681,0.924
4,823,0.932
64,977,0.736
26,530,0.9358
64,780,0.973
31,657,0.8767
18,572,0.9385
32,169,0.926
31,600,0.9303
26,244,0.8486
26,943,0.8981
18,809,0.922
18,993,0.924
35,541,0.085
31,306,0.8767
14,876,0.9177
18,280,0.928
26,383,0.5655
14,71,0.9174
14,982,0.9184
26,948,0.9013
18,705,0.913
17,473,0.497
64,869,0.671
26,355,0.9084
18,770,0.9185
18,879,0.929
26,365,0.8847
14,861,0.9455
4,556,0.934
18,464,0.92
10,235,0.51
14,862,0.9174
38,277,0.888
26,857,0.8603
26,135,0.6173
18,110,0.924
18,341,0.9165
26,106,0.9068
18,997,0.9325
26,525,0.5634
14,160,0.9458
14,281,0.9742
18,817,0.9265
18,917,0.8885
14,144,0.9184
31,76,0.8767
26,654,0.9014
18,757,0.932
18,606,0.917
26,166,0.9033
26,697,0.9404
31,671,0.8767
26,421,0.5523
18,182,0.9285
26,362,0.7675
18,968,0.928
14,904,0.9158
18,154,0.9275
26,410,0.6312
46,961,0.841
11,237,0.878
14,768,0.9703
26,871,0.9014
18,470,0.927
18,487,0.924
26,452,0.8635
36,698,0.593
7,609,0.924
32,82,0.9
25,720,0.875
26,432,0.4874
14,962,0.9184
57,172,0.97
18,710,0.9215
14,620,0.9171
58,756,0.81
18,850,0.9315
14,173,0.9148
26,399,0.7775
31,255,0.8633
4,816,0.581
26,694,0.8746
31,731,0.925
16,583,0.828
31,329,0.8733
31,181,0.8567
11,212,0.888
14,284,0.9448
18,742,0.9225
31,287,0.9302
18,877,0.927
26,367,0.8945
64,791,0.587
18,73,0.8885
26,503,0.8578
27,544,0.589
26,370,0.8943
16,579,0.8235
56,713,0.802
26,946,0.8657
26,766,0.9427
26,950,0.9323
31,646,0.87
46,542,0.839
26,140,0.6895
26,426,0.1268
31,564,0.86
31,753,0.8633
4,675,0.542
18,292,0.9245
26,949,0.7581
18,802,0.9265
64,868,0.685
26,951,0.8456
26,134,0.6065
26,941,0.828
16,580,0.6745
10,213,0.494
64,468,0.205
18,747,0.9175
26,626,0.8314
14,679,0.9474
18,954,0.9225
44,826,0.815
26,866,0.9153
14,825,0.9152
26,466,0.8137
18,624,0.924
58,163,0.73
18,377,0.9285
26,240,0.9014
18,485,0.917
26,659,0.848
4,335,0.917
18,492,0.927
26,899,0.886
18,72,0.9215
31,330,0.8667
18,375,0.8955
58,231,0.567
14,200,0.941
18,915,0.919
18,988,0.923
26,378,0.8199
18,246,0.9245
26,520,0.8578
18,465,0.923
26,990,0.9356
18,462,0.925
15,506,0.974
26,363,0.7721
26,945,0.914
26,932,0.9278
40,510,0.902
14,547,0.9426
18,203,0.9215
26,189,0.5092
18,263,0.9245
26,289,0.9014
64,782,0.967
26,712,0.5819
18,374,0.9245
18,344,0.9205
