dataset_id,model_id,according accuracy
55,477,0.79
26,857,0.8603
18,120,0.9165
26,164,0.8968
26,369,0.826
18,485,0.917
18,811,0.9215
16,583,0.828
18,159,0.924
26,354,0.9099
26,260,0.9119
64,804,0.642
64,326,0.557
31,181,0.8567
31,731,0.925
18,79,0.9335
31,830,0.6833
26,803,0.9157
14,732,0.9168
16,584,0.8038
31,329,0.8733
6,152,0.818
14,964,0.9303
14,991,0.9474
18,302,0.929
18,274,0.923
18,681,0.924
26,379,0.6208
41,264,0.908
26,439,0.1408
18,184,0.928
26,503,0.8578
18,709,0.924
26,128,0.507
64,783,0.96
26,522,0.91
52,91,0.711
18,563,0.929
64,100,0.513
18,461,0.9245
14,881,0.9161
18,566,0.919
14,514,0.9352
31,753,0.8633
58,234,0.713
14,285,0.9187
18,203,0.9215
18,728,0.9245
31,331,0.87
26,405,0.1268
38,177,0.942
31,841,0.9672
11,228,0.876
26,372,0.9048
26,410,0.6312
26,397,0.4982
18,729,0.9245
26,385,0.5702
31,646,0.87
14,114,0.9177
26,99,0.9014
26,424,0.8635
18,279,0.9205
18,374,0.9245
31,596,0.923
26,707,0.9584
18,891,0.9285
55,483,0.744
26,446,0.5881
14,288,0.9184
26,530,0.9358
25,718,0.89
18,73,0.8885
26,691,0.6209
58,208,0.709
31,564,0.86
57,172,0.97
18,798,0.8945
18,652,0.9315
34,629,0.775
18,603,0.921
18,915,0.919
14,965,0.9165
26,426,0.1268
31,647,0.9
46,773,0.867
26,423,0.4982
18,859,0.9245
4,333,0.932
26,378,0.8199
18,752,0.925
18,833,0.9235
18,710,0.9215
26,871,0.9014
14,515,0.9184
14,678,0.9506
14,267,0.9148
26,990,0.9356
18,145,0.926
18,836,0.9005
58,653,0.716
26,441,0.9877
18,963,0.925
26,436,0.7936
7,609,0.924
26,444,0.5923
18,848,0.923
50,94,0.918
32,170,0.935
18,183,0.9265
18,258,0.936
26,947,0.9154
26,352,0.841
18,254,0.9265
17,473,0.497
14,621,0.9471
26,122,0.7581
10,227,0.536
26,684,0.9014
18,156,0.922
26,313,0.906
18,822,0.9255
18,797,0.926
26,886,0.9151
31,851,0.904
26,519,0.8501
18,957,0.919
18,906,0.924
64,517,0.634
46,961,0.841
18,180,0.9425
26,404,0.0845
26,75,0.8578
18,931,0.9245
14,343,0.9187
18,377,0.9285
4,153,0.761
18,637,0.903
26,403,0.8005
52,89,0.728
25,325,0.978
26,126,0.7132
26,695,0.8922
12,560,0.788
31,270,0.87
18,512,0.9245
18,305,0.9255
26,391,0.7888
64,179,0.553
14,615,0.9739
18,810,0.9215
18,913,0.921
54,291,0.989
18,997,0.9325
49,776,0.833
26,447,0.4621
18,805,0.926
11,215,0.879
18,599,0.902
31,597,0.9303
10,226,0.503
18,283,0.924
31,538,0.8667
18,263,0.9245
18,497,0.926
18,602,0.9265
14,828,0.9448
22,198,0.788
64,618,0.24
36,698,0.593
31,641,0.86
26,363,0.7721
41,265,0.799
26,501,0.8529
14,864,0.9487
18,608,0.39
18,796,0.927
18,239,0.9295
26,133,0.8456
46,542,0.839
4,673,0.502
14,862,0.9174
26,430,0.6007
26,943,0.8981
26,771,0.8326
18,883,0.936
51,339,0.929
18,488,0.924
10,217,0.513
51,340,0.933
26,349,0.8326
58,233,0.863
14,201,0.9161
18,909,0.926
18,623,0.9225
31,486,0.9307
52,92,0.711
45,927,0.796
58,207,0.844
26,815,0.8676
18,513,0.9165
26,108,0.6679
18,847,0.923
14,266,0.9306
18,268,0.922
31,278,0.8667
44,826,0.815
14,649,0.9171
18,155,0.6
31,806,0.916
14,200,0.941
18,88,0.937
26,902,0.9255
18,585,0.92
14,250,0.9171
64,782,0.967
26,790,0.9037
18,831,0.9265
18,467,0.9225
26,654,0.9014
35,541,0.085
26,416,0.5717
37,701,0.8796
18,770,0.9185
56,714,0.851
14,740,0.9729
18,953,0.9225
18,540,0.923
18,505,0.927
18,651,0.928
26,626,0.8314
9,818,0.814
31,638,0.928
61,788,0.826
58,205,0.513
26,395,0.5199
26,526,0.902
26,386,0.568
26,694,0.8746
18,296,0.9245
58,163,0.73
18,112,0.923
26,498,0.8775
26,901,0.8634
10,210,0.532
10,236,0.549
18,375,0.8955
