dataset_id,model_id,according accuracy
18,283,0.924
26,245,0.8578
10,214,0.537
26,130,0.7917
31,806,0.916
18,636,0.9265
18,973,0.9255
18,573,0.924
18,617,0.9325
49,777,0.84
31,619,0.8767
50,94,0.918
32,81,0.902
26,430,0.6007
18,111,0.924
18,68,0.928
18,845,0.9305
18,549,0.9245
27,544,0.589
16,579,0.8235
18,938,0.927
26,417,0.5578
18,931,0.9245
26,95,0.8578
18,729,0.9245
26,99,0.9014
18,186,0.9365
14,598,0.9184
18,716,0.9255
18,67,0.9275
18,374,0.9245
26,871,0.9014
18,793,0.9245
46,960,0.841
18,988,0.923
26,398,0.4477
26,382,0.6353
18,85,0.936
18,150,0.924
64,780,0.973
18,115,0.921
18,979,0.9235
31,727,0.8767
18,494,0.926
16,581,0.8689
18,554,0.9255
26,639,0.6814
26,166,0.9033
18,350,0.923
26,137,0.5634
32,168,0.93
31,839,0.9776
18,316,0.926
26,412,0.8848
64,976,0.568
31,708,0.9214
18,856,0.923
31,596,0.923
18,274,0.923
14,161,0.9184
53,656,0.998
61,900,0.625
25,872,0.992
31,278,0.8667
46,820,0.839
26,451,0.8544
26,520,0.8578
18,589,0.9225
18,72,0.9215
18,811,0.9215
14,160,0.9458
18,73,0.8885
26,769,0.9644
26,410,0.6312
18,375,0.8955
14,70,0.9465
18,341,0.9165
26,925,0.8205
54,592,0.876
26,531,0.5634
22,197,0.749
26,932,0.9278
26,105,0.8382
18,853,0.9205
26,707,0.9584
26,127,0.5634
18,660,0.925
26,446,0.5881
18,911,0.921
18,724,0.921
18,239,0.9295
51,339,0.929
18,995,0.9365
26,695,0.8922
36,698,0.593
26,803,0.9157
22,199,0.814
26,501,0.8529
5,116,0.48
58,249,0.809
4,758,0.765
14,834,0.95
35,924,0.833
26,123,0.5634
26,480,0.9335
35,541,0.085
52,90,0.722
26,190,0.8206
18,969,0.923
18,258,0.936
14,201,0.9161
18,96,0.9365
26,455,0.1268
18,157,0.92
52,91,0.711
26,435,0.7901
29,162,0.629
26,434,0.4874
18,966,0.9235
11,228,0.876
31,922,0.88
18,461,0.9245
26,290,0.8968
18,827,0.922
31,662,0.8667
26,692,0.9232
48,117,0.281
11,211,0.868
26,395,0.5199
26,175,0.9346
18,802,0.9265
14,144,0.9184
18,470,0.927
42,785,0.905
26,450,0.8601
18,905,0.924
26,661,0.9014
18,764,0.9215
26,370,0.8943
14,862,0.9174
18,741,0.913
31,646,0.87
4,816,0.581
26,970,0.8529
14,114,0.9177
26,397,0.4982
18,796,0.927
31,980,0.8733
4,700,0.583
18,467,0.9225
64,791,0.587
26,867,0.7328
31,748,0.8733
31,330,0.8667
26,387,0.5702
18,563,0.929
31,270,0.87
65,719,0.911
26,475,0.8554
65,718,0.884
14,550,0.9477
26,815,0.8676
11,216,0.896
26,423,0.4982
31,329,0.8733
31,812,0.9297
26,409,0.656
14,151,0.9113
18,735,0.928
18,344,0.9205
64,977,0.736
18,968,0.928
14,611,0.9768
14,965,0.9165
4,601,0.84
26,528,0.9153
18,512,0.9245
18,247,0.9245
18,310,0.9265
49,640,0.825
32,167,0.937
26,104,0.823
26,654,0.9014
26,376,0.8853
0,318,0.938
18,487,0.924
26,441,0.9877
26,378,0.8199
26,146,0.848
26,990,0.9356
18,757,0.932
18,594,0.9245
31,552,0.8767
31,956,0.86
25,940,0.862
26,390,0.7887
58,914,0.819
18,910,0.928
26,139,0.5634
14,267,0.9148
14,844,0.9116
14,919,0.9174
4,457,0.931
26,886,0.9151
18,351,0.9185
26,860,0.8603
14,262,0.9158
18,677,0.9295
26,124,0.5487
18,798,0.8945
18,286,0.922
31,647,0.9
14,897,0.8532
18,634,0.9215
26,428,0.8505
18,248,0.938
18,110,0.924
18,913,0.921
31,537,0.86
49,776,0.833
26,846,0.9323
26,706,0.9399
26,557,0.8616
31,731,0.925
