dataset_id,model_id,according accuracy
31,243,0.86
2,102,0.815
58,222,0.561
26,363,0.7721
26,707,0.9584
31,188,0.86
18,351,0.9185
26,525,0.5634
18,893,0.838
18,907,0.925
18,633,0.934
26,519,0.8501
18,642,0.9265
18,280,0.928
18,182,0.9285
25,325,0.978
18,192,0.925
26,945,0.914
64,723,0.562
31,843,0.8733
18,607,0.918
26,434,0.4874
26,121,0.911
7,721,0.924
31,731,0.925
18,464,0.92
18,728,0.9245
18,863,0.929
64,783,0.96
26,639,0.6814
26,352,0.841
32,83,0.94
31,939,0.866
26,570,0.8284
18,602,0.9265
31,74,0.8733
18,762,0.925
26,245,0.8578
31,955,0.9552
7,609,0.924
14,160,0.9458
14,342,0.9406
18,894,0.925
26,370,0.8943
31,76,0.8767
18,158,0.934
28,567,0.993
18,77,0.928
14,176,0.9174
18,931,0.9245
18,883,0.936
31,807,0.89
47,604,0.908
26,244,0.8486
26,418,0.6562
4,601,0.84
18,599,0.902
26,972,0.8554
26,303,0.8456
18,149,0.923
41,854,0.822
14,547,0.9426
26,105,0.8382
64,293,0.954
31,314,0.928
64,792,0.616
18,963,0.925
7,736,0.925
64,315,0.586
18,995,0.9365
25,940,0.862
26,455,0.1268
18,810,0.9215
26,389,0.8026
26,135,0.6173
26,271,0.9014
18,239,0.9295
18,617,0.9325
31,670,0.9267
18,794,0.923
18,536,0.9225
26,947,0.9154
31,328,0.909
26,440,0.1549
18,572,0.9385
18,347,0.834
26,475,0.8554
18,669,0.9405
51,340,0.933
18,833,0.9235
26,769,0.9644
18,505,0.927
54,291,0.989
26,453,0.1268
14,550,0.9477
18,802,0.9265
26,696,0.9151
26,313,0.906
31,596,0.923
18,269,0.9275
18,562,0.923
26,498,0.8775
64,717,0.592
55,478,0.834
31,635,0.86
26,372,0.9048
18,915,0.919
26,364,0.8439
14,348,0.9155
26,80,0.5493
26,528,0.9153
18,716,0.9255
22,198,0.788
26,754,0.9438
18,305,0.9255
18,634,0.9215
14,114,0.9177
26,926,0.8549
26,395,0.5199
14,919,0.9174
14,613,0.9255
26,448,0.4657
26,815,0.8676
31,628,0.8667
26,401,0.7913
26,449,0.4838
18,745,0.934
18,667,0.9215
14,161,0.9184
4,333,0.932
18,973,0.9255
18,786,0.925
26,690,0.8627
58,206,0.704
14,71,0.9174
26,414,0.6072
18,374,0.9245
64,977,0.736
58,232,0.783
31,255,0.8633
26,466,0.8137
26,689,0.7862
14,903,0.8265
18,796,0.927
18,142,0.9235
15,506,0.974
58,221,0.462
26,436,0.7936
18,809,0.922
18,979,0.9235
4,674,0.55
26,925,0.8205
11,211,0.868
31,967,0.9361
18,470,0.927
26,394,0.491
18,725,0.925
18,292,0.9245
14,732,0.9168
18,729,0.9245
49,776,0.833
18,953,0.9225
26,291,0.911
4,675,0.542
54,592,0.876
14,649,0.9171
14,345,0.9184
14,744,0.9174
26,399,0.7775
31,682,0.8633
18,88,0.937
18,849,0.924
18,981,0.922
18,594,0.9245
64,323,0.781
18,850,0.9315
14,876,0.9177
18,660,0.925
11,238,0.895
26,852,0.8219
26,122,0.7581
26,438,0.1268
46,773,0.867
31,574,0.87
18,119,0.9175
41,264,0.908
14,515,0.9184
31,980,0.8733
31,484,0.8733
64,517,0.634
26,369,0.826
64,326,0.557
14,490,0.9135
14,739,0.94
31,838,0.9294
18,534,0.926
26,934,0.848
18,72,0.9215
18,735,0.928
31,837,0.8533
14,743,0.9468
49,778,0.893
18,590,0.931
11,237,0.878
14,587,0.9174
26,501,0.8529
26,95,0.8578
14,679,0.9474
53,655,0.992
26,712,0.5819
10,214,0.537
14,865,0.92
18,86,0.9215
26,361,0.3521
26,405,0.1268
18,202,0.927
38,178,0.923
14,252,0.9458
64,782,0.967
46,960,0.841
32,170,0.935
18,485,0.917
18,625,0.925
14,337,0.9161
18,155,0.6
18,274,0.923
26,694,0.8746
4,457,0.931
26,431,0.6032
18,311,0.937
18,986,0.924
14,250,0.9171
31,800,0.8667
14,825,0.9152
26,971,0.8505
61,900,0.625
7,767,0.922
52,89,0.728
31,753,0.8633
18,103,0.926
26,531,0.5634
64,975,0.678
14,962,0.9184
31,278,0.8667
14,288,0.9184
18,916,0.9195
49,774,0.853
56,714,0.851
31,539,0.8667
64,179,0.553
49,777,0.84
18,554,0.9255
26,385,0.5702
33,688,0.913
4,700,0.583
26,990,0.9356
58,282,0.71
14,733,0.9468
9,818,0.814
18,585,0.92
26,400,0.7867
26,124,0.5487
26,425,0.8406
26,441,0.9877
38,277,0.888
18,184,0.928
26,138,0.8231
18,310,0.9265
4,816,0.581
18,573,0.924
31,460,0.8733
26,902,0.9255
18,746,0.9275
27,568,0.436
31,839,0.9776
14,548,0.9181
26,146,0.848
18,997,0.9325
14,761,0.9529
18,196,0.912
14,964,0.9303
6,152,0.818
26,123,0.5634
14,824,0.9458
31,840,0.9074
39,873,0.872
16,582,0.8691
58,233,0.863
